latitude,longitude,elevation,segment dist,total distance
37.813130,-122.211160,374.000,0.0064,4.70,57
37.813250,-122.211050,367.000,0.0102,4.71,0
37.813280,-122.210910,357.000,0.0079,4.72,0
37.813290,-122.210720,348.000,0.0104,4.73,0
37.813000,-122.209970,337.000,0.0456,4.78,0
37.812880,-122.209410,308.000,0.0317,4.81,0
37.812820,-122.208900,280.000,0.0281,4.84,0
37.812810,-122.208160,250.000,0.0404,4.88,0
37.812840,-122.208060,212.000,0.0058,4.88,0
37.812900,-122.207980,204.000,0.0060,4.89,0
37.813110,-122.207940,178.000,0.0146,4.90,57
37.813260,-122.207970,160.000,0.0105,4.91,57
37.813330,-122.208010,158.000,0.0053,4.92,57
37.813540,-122.208470,156.000,0.0290,4.95,114
37.813590,-122.208560,136.000,0.0060,4.95,114
37.813940,-122.209000,126.000,0.0341,4.99,114
37.814340,-122.209030,113.000,0.0277,5.02,57
37.814400,-122.209050,97.000,0.0042,5.02,57
37.814460,-122.209120,82.000,0.0056,5.03,114
37.814660,-122.209540,66.000,0.0267,5.05,114
37.814810,-122.209560,51.000,0.0104,5.06,57
37.814820,-122.209560,30.000,0,5.06,57
37.815080,-122.209670,14.000,0.0189,5.08,57
37.815130,-122.209770,7.000,0.0064,5.09,114
37.815180,-122.210160,5.000,0.0215,5.11,114
37.815280,-122.210300,3.000,0.0103,5.12,114
37.815340,-122.210330,3.000,0.0044,5.12,57
37.815400,-122.210300,3.000,0.0044,5.13,57
37.815490,-122.210170,3.000,0.0094,5.14,0
37.815540,-122.209820,8.000,0.0194,5.16,0
37.815620,-122.209670,10.000,0.0098,5.17,0
37.816030,-122.209500,8.000,0.0298,5.20,57
37.816070,-122.209450,8.000,0.0038,5.20,0
37.816100,-122.209360,,0.0053,5.21,0
37.816180,-122.208910,,0.0252,5.23,0
37.816710,-122.208380,,0.0467,5.28,0
37.816810,-122.208210,,0.0115,5.29,0
37.816920,-122.207840,,0.0216,5.31,0
37.816920,-122.207660,,0,5.31,0
37.816870,-122.207300,,0.0199,5.33,0
37.816960,-122.206530,,0.0425,5.37,0
37.816970,-122.206390,,0.0076,5.38,0
37.816960,-122.206230,,0.0087,5.39,0
37.816230,-122.205200,,0.0756,5.47,0
37.815850,-122.204720,,0.0371,5.50,0
37.815470,-122.204240,,0.0371,5.54,0
37.815430,-122.203390,,0.0465,5.59,0
37.815340,-122.203090,,0.0175,5.60,0
37.815170,-122.202780,,0.0206,5.63,0
37.814510,-122.201920,,0.0655,5.69,0
37.814520,-122.201920,,0,5.69,57
37.813797,-122.201320,,0.0597,5.75,0
37.812350,-122.200120,,0.1196,5.87,0
37.811985,-122.199765,,0.0318,5.90,0
37.811620,-122.199410,,0.0318,5.93,0
37.810950,-122.198940,,0.0529,5.99,286
37.810860,-122.198830,,0.0086,6.00,0
37.810640,-122.198380,,0.0289,6.02,0
37.810430,-122.197810,,0.0343,6.06,0
37.810530,-122.197670,,0.0103,6.07,0
37.810780,-122.197350,,0.0245,6.09,0
37.810900,-122.197020,,0.0198,6.11,0
37.810910,-122.196780,,0.0131,6.13,0
37.810890,-122.195900,,0.0481,6.18,0
37.810820,-122.195300,,0.0331,6.21,0
37.810690,-122.194650,,0.0366,6.24,0
37.810535,-122.193905,,0.0420,6.29,0
37.810200,-122.192660,,0.0718,6.36,0
37.809940,-122.192145,,0.0333,6.39,0
37.809680,-122.191630,,0.0333,6.43,0
37.809500,-122.191000,,0.0366,6.46,0
37.809500,-122.190810,,0,6.46,0
37.809530,-122.190510,,0.0165,6.48,0
37.809680,-122.189320,,0.0658,6.54,0
37.809700,-122.189020,,0.0164,6.56,0
37.809630,-122.188360,,0.0363,6.60,0
37.809300,-122.187480,,0.0532,6.65,0
37.809250,-122.187020,,0.0253,6.68,0
37.809270,-122.186720,,0.0164,6.69,0
37.809610,-122.184990,,0.0974,6.79,0
37.809650,-122.184750,,0.0134,6.80,0
37.809650,-122.184170,,0,6.80,0
37.809510,-122.183080,,0.0603,6.86,0
37.809430,-122.182780,,0.0173,6.88,0
37.809320,-122.182460,,0.0190,6.90,0
37.808800,-122.181370,,0.0695,6.97,0
37.808610,-122.181110,,0.0193,6.99,0
37.808140,-122.180710,,0.0391,7.03,0
37.806630,-122.179950,,0.1123,7.14,286
37.805820,-122.179670,,0.0580,7.20,286
37.805010,-122.179390,,0.0580,7.26,286
37.804430,-122.178970,,0.0462,7.30,286
37.803820,-122.178290,,0.0562,7.36,0
37.803210,-122.177470,,0.0615,7.42,0
37.801923,-122.175950,,0.1217,7.54,0
37.801280,-122.175190,,0.0608,7.60,0
37.801090,-122.174880,,0.0214,7.62,0
37.800970,-122.175290,,0.0238,7.65,229
37.800840,-122.175100,,0.0137,7.66,0
37.801090,-122.174880,,0.0210,7.68,0
37.800180,-122.173245,,0.1092,7.79,0
37.799725,-122.172428,,0.0546,7.85,0
37.799270,-122.171610,,0.0546,7.90,0
37.799320,-122.171220,,0.0215,7.92,0
37.799330,-122.171120,,0.0055,7.93,0
37.799410,-122.171000,,0.0085,7.94,0
37.799710,-122.170850,,0.0223,7.96,57
37.800160,-122.170670,,0.0326,7.99,57
37.800590,-122.170435,,0.0323,8.03,57
37.801330,-122.170130,,0.0538,8.08,57
37.801550,-122.170110,,0.0152,8.09,57
37.801900,-122.170200,,0.0247,8.12,57
37.802560,-122.170550,,0.0494,8.17,57
37.803210,-122.171040,,0.0523,8.22,114
37.803410,-122.171130,,0.0146,8.24,57
37.804310,-122.171440,,0.0645,8.30,57
37.804460,-122.171440,,0,8.30,57
37.804700,-122.171360,,0.0171,8.32,57
37.805010,-122.171130,,0.0248,8.34,57
37.805230,-122.170840,,0.0219,8.36,0
37.805380,-122.170580,,0.0175,8.38,0
37.805790,-122.169620,,0.0596,8.44,0
37.805800,-122.169620,,0,8.44,57
37.805960,-122.169320,,0.0197,8.46,0
37.806480,-122.167810,,0.0900,8.55,0
37.806530,-122.167550,,0.0146,8.57,0
37.806540,-122.167370,,0.0098,8.58,0
37.806370,-122.166340,,0.0575,8.63,0
37.806165,-122.165710,,0.0372,8.67,0
37.805960,-122.165080,,0.0372,8.71,0
37.805630,-122.164550,,0.0368,8.74,0
37.805420,-122.164110,,0.0280,8.77,0
37.804990,-122.163560,,0.0422,8.81,0
37.804600,-122.162680,,0.0551,8.87,0
37.804480,-122.162470,,0.0141,8.88,0
37.804100,-122.161910,,0.0403,8.92,0
37.803930,-122.160930,,0.0548,8.98,0
